Sequence ID,Wormbase ID,Category 1,Category 2,Category 3,Description
K08H10.4,WBGene00010697,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,uda-1 is an ortholog of human ENTPD5 (ectonucleoside triphosphate diphosphohydrolase 5) and ENTPD6 (ectonucleoside triphosphate diphosphohydrolase 6 (putative)); uda-1 is involved in GDP metabolic process and UDP metabolic process; uda-1 exhibits guanosine-diphosphatase activity and uridine-diphosphatase activity; uda-1 is localized to the cytoplasmic vesicle membrane.
T06E8.1,WBGene00011543,Metabolism,Metabolism: lipid,Metabolism: lipid: glycerolipid ,"T06E8.1 is orthologous to the human gene 1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 2 (LYSOPHOSPHATIDIC ACID ACYLTRANSFERASE, BETA) (AGPAT2; OMIM:603100), which when mutated leads to disease; T06E8.1 protein is predicted to be mitochondrial."
R04B5.6,WBGene00011004,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"R04B5.6 encodes one of two C. elegans sorbitol dehydrogense orthologs; by homology the product of R04B5.6 is predicted to catalyze the reversible oxidation of sorbitol to fructose in the presence of NAD+; in the embryo, an R04B5.6::gfp fusion is expressed in pharyngeal cells and head neurons."
R04B5.9,WBGene00011006,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-47 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-47 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
ZK856.10,WBGene00014111,Transcription: general machinery,Transcription: general machinery: RNA Pol III,Transcription: general machinery: RNA Pol III,"rpc-25 is an ortholog of human POLR3H (RNA polymerase III subunit H); rpc-25 is predicted to have DNA-directed 5'-3' RNA polymerase activity, based on protein domain information."
B0024.12,WBGene00001646,Metabolism,Metabolism: amino sugar,Metabolism: amino sugar,"gna-1 encodes one of two C. elegans glucosamine 6-phosphate N-acetyltransferases (GNAs); by homology, GNA-1 is predicted to be required for the formation of UDP-N-acetylglucosamine, a substrate in chitin synthesis, Golgi and cytoplasmic glycosylation, and GPI anchoring; gna-1, like chs-2, is expressed pharyngeally rather than in germline, and (unlike its paralog gna-2) does not have an osmotically-sensitive embryonic lethal RNAi phenotype; as loss of gna-1 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of GNA-1 in C. elegans development and/or behavior is not yet known."
B0024.13,WBGene00007102,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,"B0024.13 is an ortholog of human SRD5A3 (steroid 5 alpha-reductase 3); B0024.13 is predicted to have oxidoreductase activity, acting on the CH-CH group of donors, based on protein domain information."
K07C5.5,WBGene00010628,Metabolism,Metabolism: lipid,Metabolism: lipid: epoxide hydratase,"ceeh-2 encodes a soluble epoxide hydrolase (sEH) orthologous to human  ABHD7 and ABHD9; recombinant CEEH-2 is biochemically active in vitro on  epoxyeicosatrienoic acids and leukotoxins (EpOMEs); conversely, CEEH-2  is inhibited by urea-based antagonists of mammalian sEH that elevate  EpOME levels when fed to C. elegans; perhaps because of genetic  redundancy with its paralog CEEH-1, CEEH-2 has no obvious function in  mass RNAi assays."
AC3.7,WBGene00007072,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-1 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-1 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
Y32F6A.3,WBGene00012528,mRNA functions,mRNA functions: processing,mRNA functions: processing: polyadenylation,"pap-1 encodes a poly (A) polymerase; large-scale RNAi screens indicate that PAP-1 activity is essential for reproduction, embryonic and larval development, proper body morphology, normal rates of growth, and coordinated locomotion."
Y37H9A.6,WBGene00003581,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,The ndx-4 gene encodes a homodimeric diadenosine tetraphosphate (Ap(4)A) hydrolase that belongs to the NUDIX hydrolase family.
C35A5.2,WBGene00007946,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-33 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-33 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
F32G8.6,WBGene00000298,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"cat-4 is an ortholog of human GCH1 (GTP cyclohydrolase 1); cat-4 is involved in dopamine biosynthetic process from tyrosine, melanin biosynthetic process and tetrahydrobiopterin biosynthetic process; cat-4 exhibits GTP cyclohydrolase I activity; cat-4 is expressed in the muscle cell, certain pharyngeal motor neurons, B cell, Y cell, certain interneurons, certain amphid neurons, hyp7 syncytium, intestinal cell, body wall musculature, dopaminergic neurons, serotonergic neurons, and certain mechanosensory neurons."
T21C9.6,WBGene00011893,Signaling,Signaling: other,Signaling: other,"T21C9.6 is predicted to have ATP binding activity and kinase activity, based on protein domain information."
H27A22.1,WBGene00010418,Protein modification,Protein modification: other,Protein modification: other,"H27A22.1 is an ortholog of human QPCTL (glutaminyl-peptide cyclotransferase like) and QPCT (glutaminyl-peptide cyclotransferase); H27A22.1 is expressed in the pharynx, hypodermis, head, and the tail."
F29F11.1,WBGene00005022,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"sqv-4 encodes a UDP-glucose 6-dehydrogenase, biochemically active in vitro, that is required for cytokinesis of one-cell embryos and for vulval morphogenesis; SQV-4 is orthologous to Drosophila SUGARLESS, human UGDH (OMIM:603370), and zebrafish JEKYLL; SQV-4 is expressed in many cell types, notably oocytes and uterine, seam, pharyngeal, and spermathecal cells, with expression being prominent in 14 of the 22 vulval nuclei of late L4 larvae; the common requirement for SQV-4 in both cytokinesis and morphogenesis may be to promote filling an extracellular space with hygroscopic proteoglycans (either in the eggshell, or underneath the L4 cuticle), which in turn may cause the space to fill with fluid."
F29F11.2,WBGene00009255,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-34 encodes a putative UDP-glucuronosyltransferase (UGT), belonging to a large nematode-specific expanded family of UGTs, that inhibits CEP-1- and HUS-1-dependent germline apoptosis as do BMK-1, RAD-50, and RAD-51."
D1054.1,WBGene00008370,Signaling,Signaling: lipid,Signaling: lipid: phospholipase patatin,"D1054.1 is an ortholog of human PNPLA4 (patatin like phospholipase domain containing 4); D1054.1 is predicted to have hydrolase activity, based on protein domain information; D1054.1 is expressed in the reproductive system."
D1054.13,WBGene00008379,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,"secs-1 is an ortholog of human SEPSECS (Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase); secs-1 exhibits identical protein binding activity and is predicted to have transferase activity, transferring selenium-containing groups, based on protein domain information; secs-1 is expressed in the ventral nerve cord and the head neurons."
C45B11.3,WBGene00000981,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,dhs-18 encodes a predicted short-chain dehydrogenase.
C06H2.1,WBGene00007385,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex V,"atp-5 is an ortholog of human ATP5H (ATP synthase, H+ transporting, mitochondrial Fo complex subunit D); atp-5 is predicted to have hydrogen ion transmembrane transporter activity, based on protein domain information."
T19B10.1,WBGene00011830,Stress response,Stress response: CYP,Stress response: CYP,"cyp-29A2 is an ortholog of human CYP19A1 (cytochrome P450 family 19 subfamily A member 1) and CYP4V2 (cytochrome P450 family 4 subfamily V member 2); cyp-29A2 is predicted to have heme binding activity, iron ion binding activity, and oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, based on protein domain information; cyp-29A2 is expressed in the pharynx, hypodermis, nervous system, intestine, and the body wall musculature."
T19B10.3,WBGene00011832,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"The T19B10.3 gene encodes an ortholog of the human gene GALACTOSIDASE, BETA 1 (GLB1), which when mutated leads to gangliosidosis type I (OMIM:230500)."
C03E10.4,WBGene00001645,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"gly-20 encodes an N-acetylglucosaminyltransferase II (GnTII); by homology, GLY-20 is predicted to function in the Golgi to effect protein N-glycosylation; expression of C. elegans GLY-20 and bovine beta1,4-galactosyltransferase I in a baculoviral insect cell system results in efficient glycosylation of mammalian proteins."
T11F9.11,WBGene00000982,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,dhs-19 encodes a short-chain dehydrogenase predicted to be mitochondrial.
F35B12.2,WBGene00000983,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,dhs-20 encodes a short-chain dehydrogenase predicted to be mitochondrial.
B0240.3,WBGene00000907,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,"daf-11 encodes a transmembrane guanylate cyclase; daf-11 activity is required for a number of processes dependent upon normal chemosensory function, including dauer formation and recovery and chemotaxis to both volatile and non-volatile odorants; daf-11 is also required for axon formation; daf-11 acts together with daf-21 to regulate chemosensory function and genetically upstream of daf-12 with respect to dauer larvae formation; in addition, daf-11 positively regulates expression of daf-28 and daf-7, which encode insulin and TGF-beta signaling molecules, respectively; a DAF-11::GFP fusion protein is expressed in a subset of amphid neurons where it localizes to the ciliated sensory endings, the cell soma, and the dendrites."
F55A11.5,WBGene00044631,Stress response,Stress response: pathogen,Stress response: pathogen: lipid,"bus-18 encodes a lysocardiolipin acyltransferase; bus-18 is required for colonization by Microbacterium nematophilum and the tail-swelling response to M. nematophilum  infection, as well as for cuticle integrity, traction during movement,  full body size, normally rapid growth, and vulval morphogenesis; bus-18  is also needed for normal cuticle antigens and resistance to emetine or  colchicine, perhaps because its cuticle is abnormally permeable."
D2023.2,WBGene00004258,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: citric acid cycle,"pyc-1 encodes the C. elegans pyruvate carboxylase ortholog; by homology, PYC-1 is predicted to function as a key regulatory enzyme of gluconeogenesis, lipogenesis, and anaplerosis, localizing to the mitochondrial matrix and catalyzing the formation of oxaloacetate from pyruvate and carbonate; pyc-1 expression is induced upon exposure of C. elegans to cadmium."
D2023.5,WBGene00008409,Cytoskeleton,Cytoskeleton: other,Cytoskeleton: other,"mpst-1 is an ortholog of human tst (thiosulfate sulfurtransferase) and MPST (mercaptopyruvate sulfurtransferase); microarray studies indicate that mpst-1 is affected by Resveratrol, Cry5B, Humic substances, Sirolimus, and Allantoin; tiling array, RNA sequencing, and microarray studies indicate that mpst-1 is enriched in the body wall muscle cell, germ line, intestine, and muscle cell."
R13H4.3,WBGene00011262,Lysosome,Lysosome: acid phospatase,Lysosome: acid phospatase,"pho-8 is an ortholog of human ACPT (acid phosphatase, testicular), ACPP (acid phosphatase, prostate) and ACP2 (acid phosphatase 2, lysosomal); microarray and RNA sequencing studies indicate that pho-8 is affected by Heme, 1-methylnicotinamide, Rotenone, Tunicamycin, Lactoferrin, Resveratrol, Chlorpyrifos, Humic substances, Copper sulfate, Paraquat, Colistin, and Sirolimus; RNA sequencing studies indicate that pho-8 is enriched in neurons."
K12G11.3,WBGene00010790,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"sodh-1 is predicted to have oxidoreductase activity, based on protein domain information; sodh-1 is expressed in the muscle cell, hypodermis, nervous system, and the intestine."
K12G11.4,WBGene00010791,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"sodh-2 is predicted to have oxidoreductase activity, based on protein domain information."
F58H1.3,WBGene00010286,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"F58H1.3 is an ortholog of human ENOPH1 (enolase-phosphatase 1); F58H1.3 is predicted to have acireductone synthase activity and magnesium ion binding activity, based on protein domain information."
C52E4.5,WBGene00008258,Trafficking,Trafficking: ER/Golgi,Trafficking: ER/Golgi: mannosidase,"mans-2 is an ortholog of human MAN1A1 (mannosidase, alpha1A, member 1), MAN1C1 (mannosidase, alpha1C, member 1) and MAN1A2 (mannosidase, alpha1A, member 2); mans-2 has a calcium ion dependent mannosyl-oligosaccharide 1,2-alpha-mannosidase activity, based on enzymatic assay, with Man6GlcNAc2 as a final product."
F57F5.2,WBGene00001553,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,"gcy-33 encodes a soluble guanylate cyclase beta subunit; GCY-33 activity is required in the ciliated BAG head sensory neurons to sense decreases in O2 levels and effect corresponding behavioral changes; a gcy-33::GFP reporter is expressed in the BAG neurons; biochemical characterization of chimeric molecules containing the GCY-33 N-terminal H-NOX domain fused to the rat beta1 guanylate cyclase indicate that the GCY-33 H-NOX domain can form complexes with NO, CO, and O2 and that binding can positively regulate catalytic activity of the molecule."
F10C2.4,WBGene00008645,DNA,DNA: replication,DNA: replication,"F10C2.4 encodes a homolog of the DNA polymerase delta complex subunit A that is required in embryos for the normal timing of embryonic cell divisions (much as DIV-1 is) and, also, for normal chromosome segregation (probably because of defective DNA replication)."
R07B7.5,WBGene00011089,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"kmo-1 is an ortholog of human KMO (kynurenine 3-monooxygenase); kmo-1 is predicted to have FAD binding activity and oxidoreductase activity, based on protein domain information."
R07B7.8,WBGene00011092,Signaling,Signaling: lipid,Signaling: lipid: phospholipase B,"R07B7.8 is an ortholog of human PLB1 (phospholipase B1); R07B7.8 is predicted to have hydrolase activity, acting on ester bonds, based on protein domain information."
C27A7.1,WBGene00007753,Metabolism,Metabolism: other,Metabolism: other,"C27A7.1 is orthologous to the human gene NPPASE (ENPP1; OMIM:173335), which when mutated leads to disease."
C27A7.3,WBGene00007755,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"C27A7.3 is an ortholog of human ENPP1 (ectonucleotide pyrophosphatase/phosphodiesterase 1), ENPP2 (ectonucleotide pyrophosphatase/phosphodiesterase 2) and ENPP3 (ectonucleotide pyrophosphatase/phosphodiesterase 3); C27A7.3 is predicted to have catalytic activity, based on protein domain information."
C27A7.5,WBGene00007756,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"C27A7.5 is an ortholog of human ASPG (asparaginase); C27A7.5 is predicted to have asparaginase activity, based on protein domain information."
T04H1.7,WBGene00011452,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-55 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
T04H1.8,WBGene00011453,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-56 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information; ugt-56 is expressed in the nervous system."
F55C5.2,WBGene00010092,Psuedogene,Psuedogene,Psuedogene,"Microarray and RNA sequencing studies indicate that F55C5.2 is affected by Methylmercuric chloride, Manganese chloride, D-glucose, Levamisole, Zidovudine, Fluoranthene, Quercetin, Paraquat, Colistin, adsorbable organic bromine compounds, and Sirolimus; tiling array and RNA sequencing studies indicate that F55C5.2 is enriched in the coelomocytes, germ line, and male."
R04F11.2,WBGene00011015,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex V,"R04F11.2 is an ortholog of human ATP5I (ATP synthase, H+ transporting, mitochondrial Fo complex subunit E); R04F11.2 is predicted to have hydrogen ion transmembrane transporter activity, based on protein domain information."
R04F11.3,WBGene00011016,DNA,DNA: replication,DNA: replication,"R04F11.3 is an ortholog of human POLD3 (DNA polymerase delta 3, accessory subunit); microarray, RNA sequencing, and tiling array studies indicate that R04F11.3 is affected by cyc-1, isp-1, age-1, aak-2, daf-12, tatn-1, fog-3, hsf-1, elli-1, pgl-1, pgl-3, glh-4, glh-1, emb-4, sir-2.1, fbf-1, gld-1, and let-60; RNA sequencing and microarray studies indicate that R04F11.3 is affected by Rotenone, Manganese chloride, D-glucose, Testosterone, Atrazine, Cadmium, Hydrolyzable Tannins, single-walled carbon nanotubes, and Sirolimus; tiling array and RNA sequencing studies indicate that R04F11.3 is enriched in the germ line and in neurons including the AVA and dopaminergic neurons."
T28H10.1,WBGene00012142,Metabolism,Metabolism: other,Metabolism: other,"T28H10.1 is an ortholog of human AASDHPPT (aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase); T28H10.1 is predicted to have holo-[acyl-carrier-protein] synthase activity and magnesium ion binding activity, based on protein domain information."
ZC116.2,WBGene00013854,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex III,"cyc-2.2 encodes, along with cyc-2.1, one of two C. elegans cytochrome c proteins; the product of cyc-2.2 is predicted to function in the electron transport chain by transferring electrons from respiratory chain Complex III to Complex IV; RNAi screens indicate the cyc-2.2 activity is required for embryonic development as well as for normal body size and rates of growth."
R11D1.11,WBGene00000984,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"dhs-21 encodes a member of the short-chain dehydrogenases/reductases family (SDR) expressed in the intestine, hypodermis, uterus, and spermatheca."
F18E2.1,WBGene00008936,Lysosome,Lysosome: acid phospatase,Lysosome: acid phospatase,"papl-1 is an ortholog of human ACP7 (acid phosphatase 7, tartrate resistant (putative)); papl-1 is predicted to have acid phosphatase activity and metal ion binding activity, based on protein domain information."
ZC455.3,WBGene00013903,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-3 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-3 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
ZC455.6,WBGene00013906,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-5 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); RNA sequencing and microarray studies indicate that ugt-5 is affected by Ethanol, Mianserin, 4-bromodiphenyl ether, Levamisole, Chlorpyrifos, Diazinon, Albendazole, Cry5B, Quercetin, Humic substances, R24, and Paraquat; tiling array and RNA sequencing studies indicate that ugt-5 is enriched in the intestine."
ZC443.5,WBGene00013900,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-18 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); microarray and RNA sequencing studies indicate that ugt-18 is affected by Heme, 1-methylnicotinamide, Tunicamycin, Sodium arsenite, Multi-walled carbon nanotubes, D-glucose, Bisphenol S, Cry5B, 4-bromodiphenyl ether, Chlorpyrifos, Diazinon, Quercetin, and Humic substances; tiling array and RNA sequencing studies indicate that ugt-18 is enriched in the intestine and in the PVD and OLL neurons."
ZC443.6,WBGene00013901,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-16 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-16 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information; ugt-16 is expressed in the pharynx and the intestine."
C44H9.1,WBGene00008097,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-15 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-15 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
T07F10.1,WBGene00011587,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"anp-1 is an ortholog of human ERAP1 (endoplasmic reticulum aminopeptidase 1) and members of the M1 metallopeptidases family including ERAP2; anp-1 is predicted to have metallopeptidase activity and zinc ion binding activity, based on protein domain information; anp-1 is expressed in the pharynx, nervous system, intestine, and the excretory cell."
F54F3.3,WBGene00010062,Metabolism,Metabolism: lipid,Metabolism: lipid: lipase,"lipl-1 is an ortholog of members of the human Lipases family including LIPF; lipl-1 is predicted to have hydrolase activity, acting on ester bonds, based on protein domain information; lipl-1 is expressed in the intestine; lipl-1 is localized to the lysosome."
F54F3.4,WBGene00010063,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,"dhrs-4 encodes a member of the short-chain dehydrogenase/reductase (SDR) family; by orthology to human DHRS4, C. elegans DHRS-4 is predicted to function as a tetrameric, peroxisomal NADPH-dependent carbonyl-reductase that acts on a large and diverse set of small molecule substrates. "
R186.4,WBGene00003031,Metabolism,Metabolism: molybdenum cofactor,Metabolism: molybdenum cofactor,"lin-46 encodes one of two C. elegans paralogs of bacterial MoeA proteins and  mammalian gephyrins (E domain, only); LIN-46 is predicted to function as a scaffolding protein for a developmental timing complex, and may also play a role in molybdenum cofactor biosynthesis; identified in screens for suppressors of  precocious heterochronic mutations in lin-14 and lin-28, lin-46 is required for stage-specific developmental events at the third larval and adult stages of development; as a component of the heterochronic pathway, lin-46 appears to act immediately downstream of lin-28, which encodes a pre-miRNA binding protein required for cell fate specification at the L2 stage; a LIN-46:GFP fusion protein is detected in the cytoplasm and non-nucleolar part of the nucleus of ventral and lateral hypodermal cells around the time of the larval molts; in addition, the LIN-46 fusion protein is detected in cell bodies and axons of the AVBL/R motor interneurons."
R186.6,WBGene00011307,Metabolism,Metabolism: other,Metabolism: other,"mpst-7 is an ortholog of human tst (thiosulfate sulfurtransferase) and MPST (mercaptopyruvate sulfurtransferase); microarray studies indicate that mpst-7 is affected by Resveratrol and Sirolimus; tiling array, RNA sequencing, and microarray studies indicate that mpst-7 is enriched in the coelomocytes, hypodermis, germ line, intestine, and male-specific tissues."
W07G4.4,WBGene00002250,Proteolysis general,Proteolysis general: metallopeptidase,Proteolysis general: metallopeptidase,The lap-2 gene encodes a homolog of the zinc metalloprotease leucine aminopeptidase LAP.
B0365.1,WBGene00007150,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"acly-2 is an ortholog of human ACLY (ATP citrate lyase); acly-2 is predicted to have cofactor binding activity and transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer, based on protein domain information."
B0365.3,WBGene00001137,Transmembrane transport,Transmembrane transport: sodium channel,Transmembrane transport: sodium channel,"eat-6 encodes an ortholog of the alpha subunit of a sodium/potassium ATPase, which in turn affects Na+,K(+)-ATPase activity of membranes by affecting the level of the phosphorylated intermediate of the Na+,K(+)-ATPase; EAT-6 affects relaxation of the pharyngeal muscles, fertility (and thus affects feeding); EAT-6 also affects body length, life span, and ASE, ASI and ASJ axonal outgrowth."
C50B6.7,WBGene00008220,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"C50B6.7 is an ortholog of human AMY1C (amylase, alpha 1C (salivary)), AMY2A (amylase, alpha 2A (pancreatic)), AMY1A (amylase, alpha 1A (salivary)) and AMY2B (amylase, alpha 2B (pancreatic)); C50B6.7 is predicted to have catalytic activity and cation binding activity, based on protein domain information; C50B6.7 is expressed in the intestine."
M04G12.3,WBGene00001554,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,"gcy-34 encodes a soluble guanylyl cyclase; GCY-34 activity is required for response to molecular oxygen changes under different conditions; gcy-34 is expressed in sensory neurons connected to the pseudocoelom, URXL, URXR, AQR, and PQR; gcy-34 expression is regulated by ahr-1 and aha-1."
F53F1.2,WBGene00009980,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,"F53F1.2 is predicted to have oxidoreductase activity, based on protein domain information."
F53F1.3,WBGene00009981,Metabolism,Metabolism: other,Metabolism: other,"F53F1.3 is predicted to have oxidoreductase activity, based on protein domain information."
F25H9.6,WBGene00009138,Metabolism,Metabolism: lipid,Metabolism: lipid: CoA,"F25H9.6 is an ortholog of human Ppcdc (phosphopantothenoylcysteine decarboxylase); F25H9.6 is predicted to have catalytic activity, based on protein domain information."
C56A3.8,WBGene00008346,Signaling,Signaling: lipid,Signaling: lipid: kinase PI4 ,"C56A3.8 is an ortholog of human PI4K2B (phosphatidylinositol 4-kinase type 2 beta), RP11-717K11.2 and RP11-548K23.11; tiling array, RNA sequencing, and microarray studies indicate that C56A3.8 is affected by daf-12, tatn-1, skn-1, glp-1, plep-1, jmjd-3.1, jmjd-1.2, hsf-1, chd-3, mir-34, pgl-1, pgl-3, glh-4, glh-1, alg-2, emb-4, and sir-2.1; RNA sequencing and microarray studies indicate that C56A3.8 is affected by Manganese chloride, Bisphenol S, Quercetin, Humic substances, and Paraquat; tiling array, RNA sequencing, and microarray studies indicate that C56A3.8 is enriched in the germline precursor cell, germ line, and muscle cell and in neurons including the dopaminergic, AVG, RIM, PVC, AVA, AVD, and AVE neurons."
F53F4.5,WBGene00001479,Metabolism,Metabolism: FMO,Metabolism: FMO,"fmo-4 encodes a flavin-containing monoxygenase homologous to human FMO1, FMO2, and FMO3 (OMIM:602079, mutated in trimethylaminuria)."
F53F4.10,WBGene00009992,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,F53F4.10 is orthologous to the human gene NADH-ubiquinone oxidoreductase flavoprotein 2 (NDUFV2; complex I of the respiratory chain); F53F4.10 protein is predicted to be mitochondrial.
H37A05.1,WBGene00010425,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"lpin-1 encodes a putative phosphatidic acid phosphatase orthologous to budding yeast PAH1 and human LPIN1 (OMIM:605518), LPIN2 (OMIM:605519, mutated in Majeed syndrome), and LPIN3 (OMIM:605520); lpin-1 is expressed in vulval muscle; in mass RNAi assays, lpin-1 is required for the osmotic integrity of eggs and for normal larval growth, body thickness, locomotion, and fertility; by orthology, LPIN-1 is expected to be dephosphorylated by SCPL-2."
F53C11.3,WBGene00009973,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"F53C11.3 is an ortholog of human DECR1 (2,4-dienoyl-CoA reductase 1, mitochondrial); F53C11.3 is involved in defense response to Gram-negative bacterium and innate immune response; F53C11.3 is expressed in the intestine."
F55B12.4,WBGene00010089,Stress response,Stress response: pathogen,Stress response: pathogen: other,"hpo-31 is an ortholog of human TRNT1 (tRNA nucleotidyl transferase 1); hpo-31 is predicted to have RNA binding activity and nucleotidyltransferase activity, based on protein domain information."
F55B12.5,WBGene00003812,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"nrf-5 encodes a lipid-binding protein that is related to mammalian cholesterol-ester-binding proteins; nrf-5 was identified in screens for genes that confer resistance to the action of fluoxetine, and appears to play a role in transporting hydrophobic molecules from the intestine to other tissues; NRF-5 also functions with CED-7 and TTR-52 to mediate phosphatidylserine transfer from apoptotic cells to phagocytes to facilitate cell corpse engulfment; NRF-5 appears to be a secreated protein as expression of an NRF-5::GFP reporter fusion is detected on the basal surface of pharyngeal cells and the basal-lateral membranes of the intestine; expression of a non-secretable form of the NRF-5::GFP reporter is detected in body wall muscle cells."
F09F3.9,WBGene00008629,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"cpt-5 is an ortholog of human CPT1C (carnitine palmitoyltransferase 1C), CPT1B (carnitine palmitoyltransferase 1B) and CPT1A (carnitine palmitoyltransferase 1A); cpt-5 is predicted to have transferase activity, transferring acyl groups, based on protein domain information."
T22G5.1,WBGene00011929,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"T22G5.1 is an ortholog of human GDE1 (glycerophosphodiester phosphodiesterase 1); T22G5.1 is predicted to have glycerophosphodiester phosphodiesterase activity, based on protein domain information."
T22G5.2,WBGene00002259,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"lbp-7 encodes a predicted intracellular fatty acid binding protein (iFABP) that is most similar to the vertebrate muscle and heart FABPs; by homology, LBP-7 is predicted to function as an intracellular transporter for small hydrophobic molecules such as lipids and steroid hormones; as loss of lbp-7 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of LBP-7 in C. elegans development and/or behavior is not yet known."
